user_id,n_relevant,precision@5,recall@5,precision@10,recall@10,precision@20,recall@20
1222,0,0.0,0.0,0.0,0.0,0.0,0.0
4840,3,0.2,0.3333333333333333,0.1,0.3333333333333333,0.05,0.3333333333333333
1442,3,0.0,0.0,0.0,0.0,0.0,0.0
2975,1,0.0,0.0,0.0,0.0,0.0,0.0
2880,1,0.0,0.0,0.0,0.0,0.0,0.0
538,1,0.0,0.0,0.0,0.0,0.0,0.0
1460,4,0.4,0.5,0.2,0.5,0.1,0.5
1217,2,0.0,0.0,0.0,0.0,0.0,0.0
806,2,0.0,0.0,0.0,0.0,0.0,0.0
1485,3,0.0,0.0,0.0,0.0,0.0,0.0
4054,4,0.0,0.0,0.0,0.0,0.0,0.0
568,1,0.2,1.0,0.1,1.0,0.05,1.0
3040,2,0.0,0.0,0.0,0.0,0.05,0.5
3612,2,0.0,0.0,0.0,0.0,0.0,0.0
1253,1,0.0,0.0,0.0,0.0,0.0,0.0
1060,0,0.0,0.0,0.0,0.0,0.0,0.0
2197,2,0.0,0.0,0.0,0.0,0.0,0.0
2329,4,0.0,0.0,0.1,0.25,0.1,0.5
3338,4,0.0,0.0,0.0,0.0,0.05,0.25
3637,3,0.0,0.0,0.0,0.0,0.0,0.0
4074,2,0.0,0.0,0.0,0.0,0.05,0.5
1058,3,0.0,0.0,0.1,0.3333333333333333,0.05,0.3333333333333333
4167,5,0.0,0.0,0.1,0.2,0.05,0.2
686,2,0.2,0.5,0.1,0.5,0.05,0.5
1429,3,0.2,0.3333333333333333,0.1,0.3333333333333333,0.05,0.3333333333333333
2152,3,0.0,0.0,0.0,0.0,0.0,0.0
3379,0,0.0,0.0,0.0,0.0,0.0,0.0
3782,2,0.0,0.0,0.0,0.0,0.0,0.0
3683,1,0.0,0.0,0.0,0.0,0.0,0.0
4620,1,0.0,0.0,0.0,0.0,0.0,0.0
3987,1,0.0,0.0,0.0,0.0,0.0,0.0
2758,2,0.0,0.0,0.0,0.0,0.0,0.0
650,2,0.0,0.0,0.1,0.5,0.05,0.5
1788,1,0.0,0.0,0.0,0.0,0.05,1.0
2392,5,0.0,0.0,0.0,0.0,0.05,0.2
3038,0,0.0,0.0,0.0,0.0,0.0,0.0
903,1,0.0,0.0,0.0,0.0,0.0,0.0
915,3,0.0,0.0,0.0,0.0,0.0,0.0
1567,4,0.0,0.0,0.0,0.0,0.0,0.0
4033,2,0.0,0.0,0.0,0.0,0.0,0.0
868,5,0.0,0.0,0.0,0.0,0.0,0.0
621,1,0.0,0.0,0.0,0.0,0.05,1.0
343,2,0.0,0.0,0.0,0.0,0.0,0.0
2595,5,0.0,0.0,0.0,0.0,0.0,0.0
4106,5,0.0,0.0,0.1,0.2,0.05,0.2
1592,3,0.2,0.3333333333333333,0.1,0.3333333333333333,0.05,0.3333333333333333
3769,3,0.2,0.3333333333333333,0.1,0.3333333333333333,0.05,0.3333333333333333
640,1,0.0,0.0,0.0,0.0,0.0,0.0
4196,1,0.0,0.0,0.0,0.0,0.05,1.0
