user_id,n_relevant,precision@5,recall@5,precision@10,recall@10,precision@20,recall@20
6,2,0.0,0.0,0.0,0.0,0.05,0.5
16,2,0.0,0.0,0.1,0.5,0.05,0.5
18,1,0.0,0.0,0.0,0.0,0.0,0.0
24,3,0.0,0.0,0.0,0.0,0.05,0.3333333333333333
35,1,0.0,0.0,0.0,0.0,0.0,0.0
39,1,0.0,0.0,0.0,0.0,0.0,0.0
50,2,0.0,0.0,0.0,0.0,0.0,0.0
53,2,0.0,0.0,0.0,0.0,0.0,0.0
57,2,0.0,0.0,0.0,0.0,0.05,0.5
66,2,0.0,0.0,0.1,0.5,0.05,0.5
73,1,0.0,0.0,0.0,0.0,0.0,0.0
92,3,0.0,0.0,0.0,0.0,0.0,0.0
104,2,0.2,0.5,0.1,0.5,0.05,0.5
105,1,0.0,0.0,0.0,0.0,0.0,0.0
106,2,0.0,0.0,0.0,0.0,0.0,0.0
114,0,0.0,0.0,0.0,0.0,0.0,0.0
118,3,0.0,0.0,0.0,0.0,0.0,0.0
121,2,0.2,0.5,0.1,0.5,0.05,0.5
124,1,0.0,0.0,0.0,0.0,0.0,0.0
138,2,0.0,0.0,0.0,0.0,0.0,0.0
145,3,0.0,0.0,0.0,0.0,0.0,0.0
154,1,0.0,0.0,0.0,0.0,0.0,0.0
162,1,0.0,0.0,0.0,0.0,0.0,0.0
164,1,0.0,0.0,0.0,0.0,0.0,0.0
173,5,0.0,0.0,0.0,0.0,0.0,0.0
178,1,0.0,0.0,0.0,0.0,0.0,0.0
187,1,0.0,0.0,0.0,0.0,0.0,0.0
207,3,0.0,0.0,0.0,0.0,0.0,0.0
223,2,0.0,0.0,0.1,0.5,0.05,0.5
248,1,0.0,0.0,0.0,0.0,0.0,0.0
256,5,0.0,0.0,0.0,0.0,0.05,0.2
271,4,0.2,0.25,0.2,0.5,0.1,0.5
290,1,0.0,0.0,0.0,0.0,0.0,0.0
305,0,0.0,0.0,0.0,0.0,0.0,0.0
312,1,0.0,0.0,0.0,0.0,0.0,0.0
329,3,0.4,0.6666666666666666,0.2,0.6666666666666666,0.1,0.6666666666666666
345,3,0.0,0.0,0.0,0.0,0.0,0.0
356,1,0.0,0.0,0.0,0.0,0.0,0.0
358,3,0.0,0.0,0.0,0.0,0.05,0.3333333333333333
361,2,0.0,0.0,0.0,0.0,0.0,0.0
368,1,0.0,0.0,0.0,0.0,0.0,0.0
382,1,0.0,0.0,0.0,0.0,0.0,0.0
384,4,0.0,0.0,0.0,0.0,0.05,0.25
390,1,0.0,0.0,0.0,0.0,0.0,0.0
412,1,0.0,0.0,0.0,0.0,0.0,0.0
419,0,0.0,0.0,0.0,0.0,0.0,0.0
420,2,0.0,0.0,0.0,0.0,0.05,0.5
428,0,0.0,0.0,0.0,0.0,0.0,0.0
432,2,0.0,0.0,0.0,0.0,0.0,0.0
464,1,0.0,0.0,0.0,0.0,0.0,0.0
467,2,0.0,0.0,0.0,0.0,0.0,0.0
471,1,0.0,0.0,0.1,1.0,0.05,1.0
472,2,0.2,0.5,0.1,0.5,0.05,0.5
475,2,0.0,0.0,0.0,0.0,0.0,0.0
502,1,0.0,0.0,0.0,0.0,0.0,0.0
511,7,0.0,0.0,0.0,0.0,0.0,0.0
531,2,0.0,0.0,0.0,0.0,0.05,0.5
541,2,0.0,0.0,0.1,0.5,0.05,0.5
547,2,0.0,0.0,0.0,0.0,0.0,0.0
550,1,0.0,0.0,0.0,0.0,0.0,0.0
576,4,0.2,0.25,0.1,0.25,0.05,0.25
581,1,0.0,0.0,0.0,0.0,0.0,0.0
583,0,0.0,0.0,0.0,0.0,0.0,0.0
587,0,0.0,0.0,0.0,0.0,0.0,0.0
594,1,0.0,0.0,0.0,0.0,0.0,0.0
604,1,0.0,0.0,0.0,0.0,0.0,0.0
619,2,0.0,0.0,0.0,0.0,0.0,0.0
625,3,0.0,0.0,0.0,0.0,0.0,0.0
629,0,0.0,0.0,0.0,0.0,0.0,0.0
634,2,0.0,0.0,0.0,0.0,0.0,0.0
639,1,0.0,0.0,0.0,0.0,0.0,0.0
655,0,0.0,0.0,0.0,0.0,0.0,0.0
660,1,0.0,0.0,0.0,0.0,0.0,0.0
666,4,0.0,0.0,0.0,0.0,0.05,0.25
669,1,0.0,0.0,0.0,0.0,0.0,0.0
692,2,0.0,0.0,0.0,0.0,0.0,0.0
696,0,0.0,0.0,0.0,0.0,0.0,0.0
698,1,0.0,0.0,0.1,1.0,0.05,1.0
707,1,0.0,0.0,0.0,0.0,0.0,0.0
709,1,0.0,0.0,0.0,0.0,0.0,0.0
719,3,0.0,0.0,0.0,0.0,0.0,0.0
722,2,0.0,0.0,0.0,0.0,0.0,0.0
741,3,0.0,0.0,0.0,0.0,0.0,0.0
772,1,0.0,0.0,0.0,0.0,0.05,1.0
786,2,0.0,0.0,0.0,0.0,0.05,0.5
801,2,0.0,0.0,0.0,0.0,0.05,0.5
803,2,0.0,0.0,0.0,0.0,0.0,0.0
814,2,0.0,0.0,0.0,0.0,0.0,0.0
821,2,0.0,0.0,0.0,0.0,0.0,0.0
828,1,0.0,0.0,0.0,0.0,0.0,0.0
839,0,0.0,0.0,0.0,0.0,0.0,0.0
844,2,0.0,0.0,0.0,0.0,0.05,0.5
846,2,0.0,0.0,0.0,0.0,0.0,0.0
852,1,0.0,0.0,0.0,0.0,0.0,0.0
859,4,0.0,0.0,0.0,0.0,0.05,0.25
867,2,0.0,0.0,0.0,0.0,0.0,0.0
875,0,0.0,0.0,0.0,0.0,0.0,0.0
878,4,0.0,0.0,0.0,0.0,0.0,0.0
897,3,0.0,0.0,0.0,0.0,0.0,0.0
898,1,0.0,0.0,0.0,0.0,0.0,0.0
900,0,0.0,0.0,0.0,0.0,0.0,0.0
924,1,0.0,0.0,0.0,0.0,0.0,0.0
940,5,0.0,0.0,0.0,0.0,0.0,0.0
944,2,0.0,0.0,0.0,0.0,0.0,0.0
987,1,0.0,0.0,0.0,0.0,0.0,0.0
1006,1,0.0,0.0,0.0,0.0,0.0,0.0
1009,1,0.0,0.0,0.0,0.0,0.0,0.0
1023,1,0.0,0.0,0.0,0.0,0.0,0.0
1028,3,0.2,0.3333333333333333,0.2,0.6666666666666666,0.1,0.6666666666666666
1057,1,0.0,0.0,0.0,0.0,0.0,0.0
1067,4,0.0,0.0,0.0,0.0,0.0,0.0
1068,1,0.0,0.0,0.0,0.0,0.05,1.0
1074,1,0.0,0.0,0.0,0.0,0.0,0.0
1082,2,0.0,0.0,0.1,0.5,0.1,1.0
1092,1,0.0,0.0,0.0,0.0,0.0,0.0
1097,2,0.0,0.0,0.0,0.0,0.05,0.5
1119,5,0.0,0.0,0.0,0.0,0.0,0.0
1185,3,0.0,0.0,0.1,0.3333333333333333,0.05,0.3333333333333333
1189,1,0.0,0.0,0.0,0.0,0.05,1.0
1195,1,0.0,0.0,0.0,0.0,0.0,0.0
1200,2,0.0,0.0,0.0,0.0,0.0,0.0
1203,1,0.0,0.0,0.0,0.0,0.0,0.0
1206,1,0.0,0.0,0.0,0.0,0.0,0.0
1210,1,0.0,0.0,0.0,0.0,0.0,0.0
1213,0,0.0,0.0,0.0,0.0,0.0,0.0
1231,1,0.0,0.0,0.0,0.0,0.0,0.0
1233,3,0.0,0.0,0.0,0.0,0.0,0.0
1254,0,0.0,0.0,0.0,0.0,0.0,0.0
1259,0,0.0,0.0,0.0,0.0,0.0,0.0
1269,1,0.0,0.0,0.0,0.0,0.0,0.0
1270,0,0.0,0.0,0.0,0.0,0.0,0.0
1274,1,0.0,0.0,0.0,0.0,0.0,0.0
1295,2,0.0,0.0,0.0,0.0,0.0,0.0
1308,3,0.0,0.0,0.0,0.0,0.0,0.0
1315,0,0.0,0.0,0.0,0.0,0.0,0.0
1318,1,0.0,0.0,0.0,0.0,0.0,0.0
1323,3,0.0,0.0,0.0,0.0,0.05,0.3333333333333333
1324,3,0.0,0.0,0.0,0.0,0.05,0.3333333333333333
1331,1,0.0,0.0,0.0,0.0,0.0,0.0
1332,3,0.4,0.6666666666666666,0.3,1.0,0.15,1.0
1345,3,0.0,0.0,0.0,0.0,0.0,0.0
1354,1,0.0,0.0,0.0,0.0,0.0,0.0
1365,2,0.0,0.0,0.0,0.0,0.0,0.0
1370,0,0.0,0.0,0.0,0.0,0.0,0.0
1396,2,0.0,0.0,0.0,0.0,0.0,0.0
1398,2,0.0,0.0,0.0,0.0,0.0,0.0
1399,1,0.0,0.0,0.0,0.0,0.0,0.0
1410,2,0.0,0.0,0.0,0.0,0.0,0.0
1414,2,0.0,0.0,0.0,0.0,0.0,0.0
1415,1,0.0,0.0,0.0,0.0,0.0,0.0
1424,0,0.0,0.0,0.0,0.0,0.0,0.0
1425,1,0.0,0.0,0.0,0.0,0.0,0.0
1441,1,0.0,0.0,0.0,0.0,0.0,0.0
1469,2,0.0,0.0,0.0,0.0,0.0,0.0
1478,3,0.0,0.0,0.0,0.0,0.0,0.0
1506,3,0.0,0.0,0.0,0.0,0.0,0.0
1513,1,0.0,0.0,0.0,0.0,0.0,0.0
1517,2,0.0,0.0,0.1,0.5,0.05,0.5
1520,0,0.0,0.0,0.0,0.0,0.0,0.0
1523,5,0.0,0.0,0.0,0.0,0.0,0.0
1528,6,0.0,0.0,0.0,0.0,0.0,0.0
1529,1,0.0,0.0,0.1,1.0,0.05,1.0
1530,1,0.0,0.0,0.0,0.0,0.0,0.0
1548,1,0.0,0.0,0.0,0.0,0.05,1.0
1552,1,0.0,0.0,0.0,0.0,0.0,0.0
1568,4,0.0,0.0,0.0,0.0,0.0,0.0
1589,1,0.0,0.0,0.0,0.0,0.0,0.0
1599,2,0.0,0.0,0.0,0.0,0.0,0.0
1600,1,0.0,0.0,0.0,0.0,0.0,0.0
1611,2,0.0,0.0,0.0,0.0,0.0,0.0
1616,1,0.0,0.0,0.0,0.0,0.0,0.0
1670,1,0.0,0.0,0.0,0.0,0.0,0.0
1675,2,0.0,0.0,0.0,0.0,0.0,0.0
1683,1,0.0,0.0,0.0,0.0,0.0,0.0
1690,0,0.0,0.0,0.0,0.0,0.0,0.0
1701,2,0.0,0.0,0.0,0.0,0.0,0.0
1704,1,0.0,0.0,0.0,0.0,0.0,0.0
1705,2,0.0,0.0,0.0,0.0,0.0,0.0
1720,0,0.0,0.0,0.0,0.0,0.0,0.0
1728,2,0.0,0.0,0.0,0.0,0.0,0.0
1734,3,0.0,0.0,0.0,0.0,0.0,0.0
1751,1,0.0,0.0,0.0,0.0,0.0,0.0
1758,0,0.0,0.0,0.0,0.0,0.0,0.0
1769,3,0.0,0.0,0.0,0.0,0.05,0.3333333333333333
1778,0,0.0,0.0,0.0,0.0,0.0,0.0
1779,0,0.0,0.0,0.0,0.0,0.0,0.0
1788,1,0.0,0.0,0.0,0.0,0.0,0.0
1825,1,0.0,0.0,0.0,0.0,0.0,0.0
1843,1,0.0,0.0,0.0,0.0,0.05,1.0
1847,0,0.0,0.0,0.0,0.0,0.0,0.0
1851,2,0.0,0.0,0.0,0.0,0.0,0.0
1862,3,0.0,0.0,0.0,0.0,0.0,0.0
1868,5,0.2,0.2,0.1,0.2,0.1,0.4
